address;data0;data1;data2;data3;data4;data5;data6;data7;time
08FFAA03;20;34;53;65;70;32;34;00;2024-09-06 14:29:07
0C000003;F0;B0;13;FF;FF;FF;FF;FF;2024-09-06 14:29:07
0CF00203;CC;00;00;FF;FF;00;00;FF;2024-09-06 14:29:07
0C000003;F0;B0;13;FF;FF;FF;FF;FF;2024-09-06 14:29:07
0CF00203;CC;00;00;FF;FF;00;00;FF;2024-09-06 14:29:07
0CFDCC03;FF;FF;FF;FF;FF;CF;FF;FF;2024-09-06 14:29:07
18A72803;F0;FF;FF;FF;FF;FF;FF;FF;2024-09-06 14:29:07
18F00503;7D;FF;FF;7D;FF;FF;FF;FF;2024-09-06 14:29:07
18FE4A03;FF;CF;00;7D;00;0F;C0;FF;2024-09-06 14:29:07
18FEF103;F2;00;00;00;FF;FF;1F;FF;2024-09-06 14:29:07
1CFFA103;22;22;CF;FF;FF;FF;FF;FF;2024-09-06 14:29:07
0C000003;F0;B0;13;FF;FF;FF;FF;FF;2024-09-06 14:29:07
0CF00203;CC;00;00;FF;FF;00;00;FF;2024-09-06 14:29:07
0C000003;F0;B0;13;FF;FF;FF;FF;FF;2024-09-06 14:29:07
0CF00203;CC;00;00;FF;FF;00;00;FF;2024-09-06 14:29:07
0C000003;F0;B0;13;FF;FF;FF;FF;FF;2024-09-06 14:29:07
0CF00203;CC;00;00;FF;FF;00;00;FF;2024-09-06 14:29:07
0C000003;F0;B0;13;FF;FF;FF;FF;FF;2024-09-06 14:29:07
0CF00203;CC;00;00;FF;FF;00;00;FF;2024-09-06 14:29:07
0C000003;F0;B0;13;FF;FF;FF;FF;FF;2024-09-06 14:29:07
0CF00203;CC;00;00;FF;FF;00;00;FF;2024-09-06 14:29:07
0C000003;F0;B0;13;FF;FF;FF;FF;FF;2024-09-06 14:29:07
0CF00203;CC;00;00;FF;FF;00;00;FF;2024-09-06 14:29:07
0C000003;F0;B0;13;FF;FF;FF;FF;FF;2024-09-06 14:29:07
0CF00203;CC;00;00;FF;FF;00;00;FF;2024-09-06 14:29:07
0C000003;F0;B0;13;FF;FF;FF;FF;FF;2024-09-06 14:29:07
0CF00203;CC;00;00;FF;FF;00;00;FF;2024-09-06 14:29:07
0C000003;F0;B0;13;FF;FF;FF;FF;FF;2024-09-06 14:29:07
0CF00203;CC;00;00;FF;FF;00;00;FF;2024-09-06 14:29:07
0C000003;F0;B0;13;FF;FF;FF;FF;FF;2024-09-06 14:29:07
0CF00203;CC;00;00;FF;FF;00;00;FF;2024-09-06 14:29:07
0CFDCC03;FF;FF;FF;FF;FF;CF;FF;FF;2024-09-06 14:29:07
18A72803;F0;FF;FF;FF;FF;FF;FF;FF;2024-09-06 14:29:07
18F00503;7D;FF;FF;7D;FF;FF;FF;FF;2024-09-06 14:29:07
18FE4A03;FF;DF;00;7D;01;0F;C0;FF;2024-09-06 14:29:07
18FEF103;F7;00;00;00;FF;FF;1F;FF;2024-09-06 14:29:07
1CFFA103;22;22;CF;FF;FF;FF;FF;FF;2024-09-06 14:29:07
0C000003;F0;B0;13;FF;FF;FF;FF;FF;2024-09-06 14:29:08
0CF00203;CC;00;00;FF;FF;00;00;FF;2024-09-06 14:29:08
0C000003;F0;B0;13;FF;FF;FF;FF;FF;2024-09-06 14:29:08
0CF00203;CC;00;00;FF;FF;00;00;FF;2024-09-06 14:29:08
0C000003;F0;B0;13;FF;FF;FF;FF;FF;2024-09-06 14:29:08
0CF00203;CC;00;00;FF;FF;00;00;FF;2024-09-06 14:29:08
18FE0128;03;00;01;00;00;00;03;43;2024-09-06 14:29:08
0C000003;F0;B0;13;FF;FF;FF;FF;FF;2024-09-06 14:29:08
0CF00203;CC;00;00;FF;FF;00;00;FF;2024-09-06 14:29:08
0C000003;F0;B0;13;FF;FF;FF;FF;FF;2024-09-06 14:29:08
0CF00203;CC;00;00;FF;FF;00;00;FF;2024-09-06 14:29:08
0C000003;F0;B0;13;FF;FF;FF;FF;FF;2024-09-06 14:29:08
0CF00203;CC;00;00;FF;FF;00;00;FF;2024-09-06 14:29:08
0C000003;F0;B0;13;FF;FF;FF;FF;FF;2024-09-06 14:29:08
0CF00203;CC;00;00;FF;FF;00;00;FF;2024-09-06 14:29:08
0C000003;F0;B0;13;FF;FF;FF;FF;FF;2024-09-06 14:29:08
0CF00203;CC;00;00;FF;FF;00;00;FF;2024-09-06 14:29:08
0C000003;F0;B0;13;FF;FF;FF;FF;FF;2024-09-06 14:29:08
0CF00203;CC;00;00;FF;FF;00;00;FF;2024-09-06 14:29:08
0C000003;F0;B0;13;FF;FF;FF;FF;FF;2024-09-06 14:29:08
0CF00203;CC;00;00;FF;FF;00;00;FF;2024-09-06 14:29:08
0CFDCC03;FF;FF;FF;FF;FF;CF;FF;FF;2024-09-06 14:29:08
18A72803;F0;FF;FF;FF;FF;FF;FF;FF;2024-09-06 14:29:08
18F00503;7D;FF;FF;7D;FF;FF;FF;FF;2024-09-06 14:29:08
18FE4A03;FF;DF;00;7D;01;0F;C0;FF;2024-09-06 14:29:08
18FEF103;F7;00;00;00;FF;FF;1F;FF;2024-09-06 14:29:08
1CFFA103;22;22;CF;FF;FF;FF;FF;FF;2024-09-06 14:29:08
0C000003;F0;B0;13;FF;FF;FF;FF;FF;2024-09-06 14:29:08
0CF00203;CC;00;00;FF;FF;00;00;FF;2024-09-06 14:29:08
0C000003;F0;B0;13;FF;FF;FF;FF;FF;2024-09-06 14:29:08
0CF00203;CC;00;00;FF;FF;00;00;FF;2024-09-06 14:29:08
0C000003;F0;B0;13;FF;FF;FF;FF;FF;2024-09-06 14:29:08
0CF00203;CC;00;00;FF;FF;00;00;FF;2024-09-06 14:29:08
